country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Ecuador,spring2021,-1.9533962536276663,83.98371428571429,26.768115942028984,0.575843,28.1,297.5859486350715,83.24859438185,-1.4560111498286723,-79.32913762287527,31.0,52.0,41.0,41.0,63.0,24.0,72.0,91.0,55.0,19.0,34.0
Ecuador,summer2021,-1.7596786896999768,40.755538461538464,15.883211678832115,0.575843,28.1,296.59695208555775,77.76158157516659,-1.4560111498286723,-79.32913762287527,91.0,12.0,91.0,91.0,75.0,28.0,79.0,91.0,0.0,69.0,91.0
Ecuador,winter2021,-2.09157886344126,61.49890109890109,28.63235294117647,0.575843,28.1,297.8418620593404,83.9018733655961,-1.4560111498286723,-79.32913762287527,91.0,70.0,91.0,91.0,84.0,78.0,91.0,91.0,0.0,27.0,0.0
Egypt,autumn2020,-1.1075409163619772,2.167758241758241,5.533333333333333,0.530405,25.3,295.7856601581897,58.5046173597788,30.213057497417765,31.081372859994246,91.0,91.0,91.0,0.0,32.0,91.0,54.0,0.0,0.0,0.0,91.0
Egypt,spring2020,-1.0968338497033463,4.689120879120879,24.73333333333333,0.530405,25.3,294.8264701608677,49.24738390453872,30.213057497417765,31.081372859994246,91.0,91.0,86.0,0.0,82.0,82.0,2.0,68.0,88.0,0.0,91.0
Egypt,spring2021,-0.2434349771205558,8.670208791208792,6.766666666666667,0.530405,25.3,295.49854886699944,46.43250298745147,30.213057497417765,31.081372859994246,47.0,78.0,85.0,85.0,32.0,76.0,91.0,0.0,0.0,0.0,7.0
Egypt,summer2020,-0.3850713481354854,5.945791208791207,12.25,0.530405,25.3,300.9484095557153,57.62910750800981,30.213057497417765,31.081372859994246,91.0,91.0,91.0,0.0,91.0,91.0,0.0,0.0,16.0,0.0,91.0
Egypt,summer2021,0.0941540044167648,2.0843186813186816,4.333333333333333,0.530405,25.3,301.46451477121315,54.30229941251987,30.213057497417765,31.081372859994246,0.0,0.0,91.0,91.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0
Egypt,winter2021,-1.7407325370553788,7.309505494505495,12.766666666666667,0.530405,25.3,288.88106497763494,59.00009791336837,30.213057497417765,31.081372859994246,91.0,91.0,91.0,83.0,0.0,91.0,91.0,0.0,0.0,0.0,91.0
El Salvador,spring2020,-0.9567008211067266,6.485022727272727,54.06666666666667,0.607731,27.6,301.7773132324219,73.49449157714844,13.68935,-89.18718,91.0,91.0,86.0,55.0,89.0,86.0,68.0,91.0,91.0,52.0,0.0
El Salvador,summer2020,-1.7618846684156275,39.12449450549451,39.333333333333336,0.607731,27.6,301.2601623535156,76.8375015258789,13.68935,-89.18718,91.0,56.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0.0
El Salvador,summer2021,-1.5758239757150267,38.3878021978022,12.6,0.607731,27.6,301.0126647949219,76.88021850585938,13.68935,-89.18718,0.0,0.0,14.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0
Estonia,spring2020,-1.0256080905663791,14.942923076923076,32.714285714285715,0.797443,42.7,279.7649230957031,64.59383392333984,59.43696,24.75353,60.0,66.0,77.0,82.0,0.0,0.0,0.0,73.0,41.0,0.0,0.0
Estonia,spring2021,-2.520647109924269,378.9883406593408,17.133333333333333,0.797443,42.7,280.34185791015625,69.49222564697266,59.43696,24.75353,63.0,91.0,49.0,88.0,0.0,55.0,0.0,49.0,0.0,0.0,82.0
Estonia,winter2021,-2.6442162322366856,553.5354285714286,15.733333333333333,0.797443,42.7,270.25006103515625,86.85186767578125,59.43696,24.75353,32.0,40.0,4.0,55.0,0.0,4.0,0.0,27.0,91.0,0.0,7.0
Finland,winter2021,-2.5761898608370557,71.93096703296703,14.86904761904762,0.968274,42.8,269.1377547374711,90.23902678534763,60.44515009378821,24.708776256471964,0.0,0.0,0.0,0.0,0.0,91.0,0.0,91.0,91.0,0.0,0.0
France,winter2021,-2.88759843256839,276.4520769230769,22.318181818181817,0.855407,42.0,280.1951474196642,79.73131350593702,47.31697032145368,3.019757105665715,56.0,91.0,91.0,91.0,0.0,91.0,0.0,91.0,91.0,91.0,0.0
Georgia,spring2021,-2.2006642358831465,218.0697472527472,9.0,0.735821,38.7,291.2770690917969,66.79955291748047,41.69411,44.83368,0.0,91.0,91.0,91.0,0.0,91.0,91.0,91.0,0.0,0.0,91.0
Georgia,winter2021,-2.710853727504596,235.42956043956045,31.5,0.735821,38.7,281.26385498046875,68.7154312133789,41.69411,44.83368,65.0,91.0,91.0,91.0,0.0,56.0,83.0,0.0,53.0,0.0,91.0
Germany,spring2020,-0.6506937813437346,23.80147252747253,28.823529411764707,0.96689,46.6,285.0415824417662,59.297100489217925,51.32118038069264,10.028717204879438,64.0,46.0,87.0,42.0,0.0,5.0,0.0,85.0,91.0,47.0,2.0
Germany,spring2021,-2.9897165829200003,149.89669230769232,21.352941176470587,0.96689,46.6,283.3374629178654,69.0690175661009,51.32118038069264,10.028717204879438,77.0,91.0,91.0,91.0,91.0,8.0,0.0,91.0,91.0,86.0,23.0
